id,voter,vote
213,kujira103l025fw2x7d8k8px7d07vu667x0h5p5apj0np,abstain
213,kujira147dwv8pvlgwekmp3aa7m5pc97etndn4a2ewcrn,yes
213,kujira14n53z9jhxn3jx4m5drfc3y8ht9vlalfnq79rlx,abstain
213,kujira168w4jva5kfrqngu63ev0tmx6wg5k5y9t74qmqg,yes
213,kujira16cemgtx5cwuxzfprp7zg96pmkpkhzzyfsy956f,yes
213,kujira16x2j8fty90kpryapl0txh6fr7r9vm6smwmzs77,yes
213,kujira175yatpvkpgw07w0chhzuks3zrrae9z9g2y6r7u5pzqesyau4x9eqqyv0rr,abstain
213,kujira17nsll5xs4ak8lsguqelhh0etvvfe2cw6lmhg0jpja28zedunddkq0d4jv4,abstain
213,kujira1850aptjmzqz7gdphqsjy5xv9sc9mfqt5exkduf,yes
213,kujira18m26lkjly2hkck25t7sdsrnu72x0g6gxf9clja,yes
213,kujira18nrmjw398fxym69qcwh04dqyrt7naputuk8sxj,yes
213,kujira1aanpwzxc58cd6jtfws95779f8urwenll4yvwxw,yes
213,kujira1c22y0nekruxjkt357mtxa6grz9z0ezlq2yghaz,yes
213,kujira1cecr58japquwj299xltlg5pupnq3s66v0uswme,yes
213,kujira1cyglcvuqt5nzvlst6ehhgquhz0c7nzcsnq5cg0,yes
213,kujira1df8zdygng9styv2jq65h6qlxx6xhdh9430xctq,yes
213,kujira1dl9jfeu6hw6t7fe3452zan82zltrfrpvvw0wlk,yes
213,kujira1elvhyvmsqyvdm5ycuppptqv6tana44mlpsw7u3,yes
213,kujira1eqhexdtptfsgyz0m9efg8s8v5vcmsknxfhvkuy,yes
213,kujira1frruu2ru6prrr5lj2n6z9ltjs47tf5qwudwawn,yes
213,kujira1g5hpt6hl6jaynjts8zwzkymsn2mwl7hhusxlmh,yes
213,kujira1g8s2yyv8yajjuthtfjkx3yfknt4tdt2zclylx3,no
213,kujira1gmtcf9s8aevhl5nrm5yytvxe48t3aq32yvmj36,yes
213,kujira1grdda4v6n5wddmcrea2mm0vl4f3wvpxj4dkkt3,yes
213,kujira1j0vtqm0mvwn9qcq3cn7zrkfma0yejk4ttczueu,abstain
