poolID,liquidity,liquidity24hChange,asset0Symbol,asset0Denom,asset0Amount,asset0gecko,asset1Symbol,asset1Denom,asset1Amount,asset1gecko,volume24h,volume7d,fee
1,17371349.611967146,-3.2554508877893253,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,758232.16722,cosmos,OSMO,uosmo,6644014.995592,osmosis,230792.03501547858,3078583.465898818,0.2%
2,201045.71832029911,-4.4289830995920365,ION,uion,380.093888,ion,OSMO,uosmo,30757.549538,osmosis,3197.6755897773537,30994.19359926052,0.5%
3,1006479.6181661817,-3.1155852174279945,AKT,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,94843.435142,akash-network,OSMO,uosmo,384935.709191,osmosis,48446.241668756695,870003.3121616247,0.2%
4,1502621.1870644926,-2.0476061513913826,AKT,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,186913.727503,akash-network,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,44593.39353,cosmos,63140.64413788244,1065978.0671072619,0.3%
5,436589.0667415584,-0.14634800789258803,DVPN,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,113058186.794332,sentinel,OSMO,uosmo,165957.425743,osmosis,29053.673002831954,305215.0997263702,0.2%
6,428230.0472098676,1.762700425296821,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,11140.389228,cosmos,DVPN,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,154736556.746599,sentinel,9767.666751402347,136138.66515927322,0.3%
7,74713.83380223838,-1.8700970935887389,IRIS,ibc/7C4D60AA95E5A7558B0A364860979CA34B7FF8AAF255B87AF9E879374470CEC0,1038869.943782,iris-network,OSMO,uosmo,28569.978061,osmosis,1692.5883924596812,16066.310307971902,0.2%
8,197099.34857461118,-1.4539615133131516,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,10315.15234,cosmos,IRIS,ibc/7C4D60AA95E5A7558B0A364860979CA34B7FF8AAF255B87AF9E879374470CEC0,2194754.351025,iris-network,3229.0987983377663,62082.24242440941,0.3%
9,919041.2124153422,-3.27154374264613,CRO,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,3373631.86302052,crypto-com-chain,OSMO,uosmo,351505.318827,osmosis,42775.04307304217,425273.20359083073,0.2%
10,283644.9319369463,-2.3014029129969726,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12377.392677,cosmos,CRO,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,1041483.36083616,crypto-com-chain,4205.349063345066,35750.588617867325,0.3%
