addr,staked
kujira1004mqvtqkckwzq0dkappks9ngf6ecc7zh9qs7d,328
kujira100qzgua43fysqhwjghnzrxmj8mg5kd0sl3pzu2,89
kujira100y2dgjmdr3vs4qpv5jgqvcyxtwlpl0a04jc32,1000
kujira100ywfax95u9c6mndxzuqkq2fdkv7f6pqzrzldp,500
kujira1026gzpe0upqf7x4qmg47az7ryyxmrvfzylugwe,906
kujira102pvaulwrfh0emujutc4nedgyppkyupun7d47v,374
kujira1037w0kq7xwv87sg52qahwswsnreqng7qxu4u3p,1570
kujira1038flrfq0ta8j477se04de6s6gxqw84y67m7cx,243
kujira103l025fw2x7d8k8px7d07vu667x0h5p5apj0np,10
kujira103n0x78hlqg0egzg2932ya9kcwaq9js478rp4r,118
kujira103verdnv4pzztty50ua7gs5gj25l2gwugp38vj,277
kujira1050qwh97mqrl8j8f8taq62mecp4k8w9tapjzy5,2635
kujira105v38cuhcj783d284qu2w8k6m0ddzg252jwsdt,5
kujira105yqjjdgl00nzwyj9aua98zgetdn4qyhlcgtnt,1667
kujira106xmqnkq55cfmxc3l892cm3csr0py6wrvm9t3u,1181
kujira107duet5hlzg48v8vxv6uq9k56rgua28f0mkevg,44
kujira107haru062a4zea3ll89ckcdgzdrqq33zaul7my,1309
kujira107nwycwfffylt7avx8xyxdpqzh7w5r2xflj6t5,33
kujira107r0ylq95jdantsxr2v376s3mu0ufh6gd6x8fx,100
kujira107t3km9mthl93axtpqfsfavkguk7333tenf67c,27
kujira107w5anewt657ak28d52nljdjkzu4mmk03f6ep0,14
kujira1084tlcxdev5d54ccy3f6j8a26hgzh2acjdpxfu,39
kujira108a3mqnnyv86neuh2q4vdlu33ja7fhqu7fjupz,126
kujira108syepla3s5dlnfmw6f85jl24xf99cqud0f5et,2
kujira10akrgknk35puyv22mgg6unqwtymh79ck29km45,740
kujira10datnnlcjmrdl37ka0g4u83chvxpfafmx9q3rr,21
kujira10dj5r8338wztzn3q3vudaccqzadl6nthkn0lev,2
kujira10ehs4l5qyjgvvhgdzstl9a5wnmj3pg0cpeqpg7,80
kujira10f6ztvsg8a2fwnuggzhpwpezg9sp6tc3rfrjce,5
kujira10gspc953t0smgs4as886varkatcmjrgsypdejh,95
kujira10hakm58g6cf5vrrmtme2dlxgwjj073052ctpz6,174
kujira10he942d029gswkvqq57whh3suk5ruj6upvr8fe,2
kujira10hlrdak95wcvlke2uxux5tkjljl9m4g8ezfusq,52
kujira10hncce2cs2hlv7l4djw4syhx0sevdz92327430,16
kujira10hvz04hh92xzct5hxnpsn5h2fp3p4ammdl7srw,2
kujira10jej4dvnnj4wn5nfegx3js2lhaya7yd3uwqnrk,213
kujira10jt37hualker4s6hjhyt3rv3ue2cnvazez92p6,8487
kujira10k4ncs4vu97fd4jtvrhusdr4c2lg5xac5vdh3l,467
kujira10lnxkvncgdxqv8z8aee9pvyf9h8ddcml8ahdfn,501
kujira10lp0ehzrmf3gq2vjumk4vw452u44tjhy8cpzgc,111
kujira10lz5n6tv7hswsm4m3mj5fs5x0h6lt2w4tncsdg,5000
kujira10lzerk7zryjtjwn4qd4e92g5pprx6td4vz8kzw,2
kujira10n9r03v8sap9y26apgp2t5fwdy4e37h4aqr349,101
kujira10ndj4f0nzxjd5yywmunme3kd2a73vxr7wfdfea,123
kujira10nfcn2f36ltg3u5ysnc2ym3j5a3lvxy7hmkcfx,23
kujira10npzhpnxjy6374wacstf7mydaj773q4ause7mz,122
kujira10q8thyc60mq2qp88stsjmg3tw3quel65kkv6rn,123
kujira10r5nydhvaam5ae99u4js8u96v4nnhmymxpnzk7,57
kujira10rcty69a02nv4sl8wmywwmyn66jgs20835vqja,400
kujira10rx4suuy4qy7dx4wl4x7kwvsv6f5y6a3efpqx5,59
kujira10taytrle2a3kxh9qt74xhdsxcfges8w530wj5w,44
kujira10u9gk7e8zk8pnc2w74wfumgdcq6s0mv9aww27l,174
kujira10upev0t5zl7ta052ezye3wc2le6qd6cph6pmqq,2937
kujira10uqr9l5ervcxp8xz398wspnr6fer0uy5d5udqa,12
kujira10us6k0d9c8dc3lnssa0gwlsk6sumya6asfd7e4,6
kujira10uuc4w6dummtyjrqnxuvzw63lcc2fzpq7y4787,2
kujira10uuvpq4s34ku9ask6jrt8ax54uxw72yccv9vnn,10000
kujira10vkqhhwu6cyp05kx0k2dfh3fyd562jggrn6gc9,31
kujira10w30cdg3pwyz5ghphs6vczt2athulu7tahazuc,325
kujira10wedlrq3xhf3n73e7k790wn9zrt2rtea2q89d6,1400
kujira10weeg4tvhcqefl3ftyjlz5p32ykeeke6hc6v7l,603
kujira10whf84w3laratexqzcv53q6hdjewlllkf3fmmj,5120
kujira10wshj6t50lf3808n2pwctxcl8n9j7ftmnl3d82,773
kujira10zcrxlqdh4f3tv6gl2felanz3xzsnktq2ldmml,6
kujira10zjtx5tyanvzhlm003el8j2z643778x9z6y0h4,43
kujira120ccruea2enrgmx2krdd5u8r2y0lnvh37lv09w,105
kujira120v78s0lf7umdmwnhct202ke37r9ymneukl255,3
kujira122esu76xehp8sq9t88kcn666ejjum5g5j5xxmt,150
kujira122jsxrat2g7n49wxtvvzhajglenuy3sm4fmvft,11001
kujira124dgmprer5j042n05hcafdl6zgys4p645xv3a8,8318
kujira125dxj9etcaqh3sngytj8t29kjvm8d2pvxk7pwc,1
kujira125k9k80swkdcngftsfawc4z83urq0a3y0890vh,500
kujira1265ft802n6jnekcskvymr5tcnkawdzdf6n8p4j,500
kujira127ju3sedue92nrnv28g8dqsrarlgx3we3kyvld,50
kujira127urzragcnyrd2a4274qu06m2uajvpzdjptak3,4971
kujira128gehf24w95nt52lwlpjate6qde485y5j7aaql,300
kujira129e3qxxmudkwuj5nnt0kma5ryz4ccaa5lsvl9k,858
kujira129rw3gnlk6x9annfw93jk86p55tn7wleqqphvl,100
kujira12aruw7xys9h33m0g3z3c5sd8k0zyfagkzz3mda,9
kujira12cl7j7fu2f5hycfpfn8zz409mc9cw5x0v9v7k3,500
kujira12cuq7y734gjhk8h66rk0c8q09rg00knu5y80hw,100
kujira12d9a2czky72k567v39un2fwj42gpth5n9djlgn,468
kujira12d9m7vkvpjgzg4yfqvud2j534r65e3tl6kt45t,30
kujira12e7ryh3z4034zd398lwudmyvkm7hngy5td8xwk,6000
kujira12fmcjn8lq9x69wf48lw3nu7am6nzzehua738fw,20
kujira12g8eumkkcweh792wa5ux297sjsgfymueqtp3kf,476
kujira12hmg2uu36d4ga3rrpzeycccceyrw6cd7fple7f,1036
kujira12j973x53ptfe4rr4ljnpl0n4js99vs5vmmyzns,1
kujira12kgwyfe68scln0hgn3w95fu55lp5v4cjmvd5wg,65
kujira12kzmjhx6sdc8vdya9jd7nvmjmqqwhfrtxle82l,10318
kujira12l0ns2c834uuq4q7wh4yh748sel8fgamjcdvq6,100
kujira12lan46dtm0f6lkaaskxz8vqqn0eaxw8sy5uj7c,2
kujira12lfdpysmds5u85z540mgcjhm93rrdsnwkaqlad,14
kujira12mh2a8uhaz3m0867muf6r7k49k4qw075edtlpy,240
kujira12nkua6pg6ypv88ywm0t8d9gflqyrvu2rln98s0,45
kujira12q34a4u30p0997a0l8s49n33fn2wx9kaxgdc6a,18
kujira12qqhw7fztp8xyp5jcs38ad8037fw9yrwq58s6q,60
kujira12saxy20x0x3n7efuxpfeq4jqp0vqpazy43hpm3,50
